User_ID,User_Location,User_Locale,User_Contributions,Travel_Date,Published_Date,Rating,Helpful_Votes,number_of_times_abroad,Age,Travel Style,Duration of Stay (Days),Monthly Income (USD),Preferred Activities 1,Preferred Activities 2,Preferred Activities 3,Preferred Travel Season,Preferred Mode of Transportation,Tech Savvy,Accommodation Type,Category
User 139,"Gryon, Switzerland",en_UK,46,12-Jul,2012-07-30T02:07:55-04:00,3,3,8,24.0,group,0m2w0d,2182.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Summer,Car,Medium,Hostel,Adventure & Active
User 149,"Singapore, Singapore",en_AU,7,14-Sep,2014-10-20T18:00:44-04:00,4,3,7,28.0,solo,0m1w1d,1792.0,Camping,Wildlife Safaris,Hiking and Trekking,Summer,Car,Medium,Hostel,Adventure & Active
User 152,"Adelaide, Australia",en_US,3,14-Sep,2014-09-22T05:26:23-04:00,1,4,6,31.0,group,0m1w3d,2445.0,Hiking and Trekking,Wildlife Safaris,Water Sports,Summer,Public-Bus,Medium,Guesthouse,Adventure & Active
User 154,"Letchworth Garden City, United Kingdom",en_UK,112,14-Jul,2014-07-20T08:40:23-04:00,2,6,15,31.0,group,0m1w4d,2713.0,Camping,Whale and Dolphin Watching,Hiking and Trekking,Summer,Van,Medium,Hostel,Adventure & Active
User 156,Ulladulla,en_AU,3,14-May,2014-06-22T15:20:00-04:00,4,3,5,30.0,couples,0m2w0d,2139.0,Hiking and Trekking,Whale and Dolphin Watching,Camping,Summer,PickMe,Medium,Camping,Adventure & Active
User 164,"Prague, Czech Republic",cs,8,18-Feb,2018-02-27T07:03:27-05:00,5,0,4,21.0,group,0m2w6d,1554.0,Water Sports,Camping,Wildlife Safaris,Summer,Train,Medium,Guesthouse,Adventure & Active
User 172,"Modena, Italy",en_US,16,11-Aug,2011-08-22T07:41:58-04:00,5,0,10,24.0,group,0m2w2d,2186.0,Wildlife Safaris,Water Sports,Hiking and Trekking,Fall,Car,Medium,Hostel,Adventure & Active
User 177,"London, United Kingdom",en_UK,6,16-Aug,2016-08-17T08:38:53-04:00,5,0,0,32.0,group,0m1w4d,2003.0,Camping,Water Sports,Wildlife Safaris,Summer,AC-Bus,Medium,Camping,Adventure & Active
User 187,"Gold Coast, Australia",en_AU,1,23-Mar,2023-03-12T19:53:18-04:00,5,0,2,22.0,group,0m2w4d,2247.0,Whale and Dolphin Watching,Wildlife Safaris,Water Sports,Summer,Car,Medium,Guesthouse,Adventure & Active
User 195,"New Delhi, India",en_UK,75,21-Dec,2021-12-29T21:22:15-05:00,5,1,1,26.0,group,0m1w3d,1558.0,Wildlife Safaris,Hiking and Trekking,Camping,Fall,Car,Medium,Camping,Adventure & Active
User 204,"Jaunmarupe, Latvia",en_US,3,19-Nov,2019-11-12T22:54:10-05:00,5,0,15,24.0,group,0m2w1d,1610.0,Camping,Wildlife Safaris,Hiking and Trekking,Fall,Car,Medium,Hostel,Adventure & Active
User 216,"Basingstoke, United Kingdom",en_US,7,20-Feb,2020-02-25T00:33:22-05:00,5,1,12,22.0,group,0m2w6d,2279.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Car,Medium,Camping,Adventure & Active
User 219,"New Delhi, India",en_IN,12,20-Jan,2020-02-16T23:32:16-05:00,5,0,8,30.0,group,0m2w4d,2030.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Fall,Train,Medium,Guesthouse,Adventure & Active
User 223,"Bath, United Kingdom",en_UK,299,20-Jan,2020-02-02T10:52:46-05:00,4,0,9,20.0,group,0m1w4d,2390.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Summer,Car,Medium,Guesthouse,Adventure & Active
User 236,"National Capital Territory of Delhi, India",en_US,18,19-Mar,2019-04-14T04:25:05-04:00,5,3,2,23.0,group,0m2w5d,2456.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Fall,Public-Bus,Medium,Guesthouse,Adventure & Active
User 238,"West Malling, United Kingdom",en_US,151,19-Apr,2019-04-11T18:30:26-04:00,5,1,14,25.0,couples,0m1w4d,1583.0,Wildlife Safaris,Water Sports,Hiking and Trekking,Fall,PickMe,Medium,Camping,Adventure & Active
User 247,"Sydney, Australia",en_AU,5,19-Aug,2019-08-29T19:44:32-04:00,1,0,4,28.0,solo,0m1w1d,2438.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Fall,Train,Medium,Guesthouse,Adventure & Active
User 250,"Los Angeles, California",en_US,407,19-Aug,2019-08-20T08:21:40-04:00,4,1,2,25.0,group,0m2w4d,1752.0,Hiking and Trekking,Water Sports,Wildlife Safaris,Fall,Car,Medium,Guesthouse,Adventure & Active
User 262,Dubai,en_US,40,19-Feb,2019-02-21T15:04:12-05:00,5,1,4,29.0,couples,0m1w4d,1800.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Fall,Car,Medium,Camping,Adventure & Active
User 269,"Jinan, China",en_US,34,19-Feb,2019-02-10T23:52:27-05:00,5,0,8,22.0,group,0m1w4d,2441.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Car,Medium,Hostel,Adventure & Active
User 279,"Leicestershire, United Kingdom",en_UK,9,19-Feb,2019-03-14T10:09:55-04:00,5,1,10,25.0,group,0m1w3d,2346.0,Hiking and Trekking,Wildlife Safaris,Whale and Dolphin Watching,Spring,Van,Medium,Hostel,Adventure & Active
User 280,"Mexico City, Mexico",en_US,37,19-Mar,2019-03-12T02:49:25-04:00,5,1,2,19.0,solo,0m0w6d,2438.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Fall,Bike,Medium,Camping,Adventure & Active
User 284,"Pune, India",en_US,24,18-Nov,2019-03-08T03:03:36-05:00,5,1,7,26.0,group,0m2w0d,1804.0,Whale and Dolphin Watching,Hiking and Trekking,Water Sports,Summer,Public-Bus,Medium,Hostel,Adventure & Active
User 298,"Ahmedabad, India",en_IN,455,19-Dec,2019-12-31T00:11:30-05:00,4,2,1,24.0,solo,0m0w6d,2058.0,Hiking and Trekking,Camping,Wildlife Safaris,Spring,scooter,Medium,Guesthouse,Adventure & Active
User 301,"Singapore, Singapore",en_US,31,19-Dec,2019-12-24T01:10:17-05:00,5,3,9,24.0,group,0m1w6d,1714.0,Water Sports,Hiking and Trekking,Wildlife Safaris,Summer,Car,Medium,Hostel,Adventure & Active
User 305,"Mumbai, India",en_US,112,18-Oct,2019-02-07T02:18:49-05:00,5,0,1,26.0,solo,0m0w6d,2296.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Fall,scooter,Medium,Camping,Adventure & Active
User 322,"London, United Kingdom",en_US,5906,20-Aug,2020-08-21T18:25:59-04:00,3,0,15,26.0,solo,0m1w1d,2315.0,Camping,Hiking and Trekking,Water Sports,Fall,Car,Medium,Hostel,Adventure & Active
User 328,"Staines, United Kingdom",en_UK,22,20-Feb,2020-03-08T23:52:39-04:00,5,1,7,30.0,group,0m2w2d,1634.0,Water Sports,Wildlife Safaris,Camping,Summer,Train,Medium,Hostel,Adventure & Active
User 329,"West Yorkshire, United Kingdom",en_UK,6,20-Feb,2020-03-08T07:15:13-04:00,5,0,7,18.0,group,0m2w2d,2389.0,Wildlife Safaris,Camping,Hiking and Trekking,Summer,Public-Bus,Medium,Hostel,Adventure & Active
User 334,Thailand,en_US,12,18-Dec,2018-12-23T18:02:48-05:00,5,1,9,19.0,group,0m2w6d,2472.0,Whale and Dolphin Watching,Water Sports,Wildlife Safaris,Fall,Van,Medium,Guesthouse,Adventure & Active
User 337,United Kingdom,en_UK,11,18-Nov,2018-12-18T20:11:23-05:00,5,0,9,24.0,group,0m2w2d,2082.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Fall,AC-Bus,Medium,Guesthouse,Adventure & Active
User 340,"Sydney, Australia",en_AU,70,18-Dec,2018-12-17T05:06:46-05:00,3,0,5,23.0,group,0m2w4d,1867.0,Wildlife Safaris,Water Sports,Camping,Summer,Car,Medium,Guesthouse,Adventure & Active
User 342,"Prague, Czech Republic",cs,11,18-Jan,2018-12-12T06:56:57-05:00,5,0,6,28.0,group,0m2w0d,2343.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Summer,Train,Medium,Hostel,Adventure & Active
User 344,"Perth, Australia",en_US,34,18-Jun,2018-12-11T15:20:23-05:00,5,0,13,23.0,solo,0m1w2d,2397.0,Whale and Dolphin Watching,Water Sports,Camping,Fall,scooter,Medium,Hostel,Adventure & Active
User 348,"Warrington, United Kingdom",en_UK,89,18-Dec,2018-12-10T10:55:28-05:00,5,0,4,31.0,group,0m2w3d,2060.0,Whale and Dolphin Watching,Hiking and Trekking,Camping,Fall,Public-Bus,Medium,Guesthouse,Adventure & Active
User 353,"Chennai (Madras), India",en_IN,6,18-Nov,2018-12-07T03:00:04-05:00,4,1,10,31.0,solo,0m0w5d,2849.0,Hiking and Trekking,Wildlife Safaris,Camping,Summer,Car,Medium,Camping,Adventure & Active
User 356,"Clearwater, Florida",en_US,264,18-Nov,2018-11-29T10:09:30-05:00,5,0,2,32.0,group,0m1w3d,2545.0,Whale and Dolphin Watching,Hiking and Trekking,Camping,Fall,Van,Medium,Hostel,Adventure & Active
User 359,"Northampton, United Kingdom",en_US,881,18-Nov,2018-11-22T06:02:53-05:00,3,1,10,31.0,group,0m2w1d,2590.0,Water Sports,Wildlife Safaris,Whale and Dolphin Watching,Fall,Car,Medium,Hostel,Adventure & Active
User 362,"Notteroy Municipality, Norway",no,27,18-Nov,2018-11-18T04:00:15-05:00,4,0,11,26.0,solo,0m0w6d,2183.0,Whale and Dolphin Watching,Camping,Water Sports,Fall,Car,Medium,Guesthouse,Adventure & Active
User 368,"Begues, Spain",en_US,42,18-Oct,2018-10-04T17:23:39-04:00,5,0,2,19.0,solo,0m1w0d,1755.0,Wildlife Safaris,Whale and Dolphin Watching,Camping,Fall,Train,Medium,Hostel,Adventure & Active
User 371,"Wyndham, Australia",en_AU,19,18-Sep,2018-10-02T01:02:37-04:00,2,1,6,19.0,group,0m2w2d,1772.0,Hiking and Trekking,Camping,Water Sports,Summer,Public-Bus,Medium,Guesthouse,Adventure & Active
User 383,"Mestre, Italy",it,208,18-Feb,2019-01-07T05:04:04-05:00,4,1,14,23.0,group,0m2w3d,2101.0,Wildlife Safaris,Camping,Whale and Dolphin Watching,Summer,Car,Medium,Guesthouse,Adventure & Active
User 390,"Croydon, United Kingdom",en_gb,153,18-Dec,2018-12-29T02:01:07-05:00,4,0,7,23.0,couples,0m1w5d,2444.0,Hiking and Trekking,Wildlife Safaris,Camping,Fall,Van,Medium,Camping,Adventure & Active
User 397,"Mumbai (Bombay), India",en_US,151,18-Nov,2018-11-07T02:38:00-05:00,5,1,6,26.0,solo,0m0w5d,2049.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Train,Medium,Guesthouse,Adventure & Active
User 400,"Bengaluru, India",en_US,44,18-Oct,2018-11-02T05:38:45-04:00,5,0,2,23.0,group,0m1w4d,2197.0,Whale and Dolphin Watching,Water Sports,Camping,Fall,Train,Medium,Camping,Adventure & Active
User 407,"London, United Kingdom",en_AU,34,18-Jun,2018-10-21T04:28:07-04:00,5,1,11,30.0,solo,0m1w1d,1668.0,Camping,Hiking and Trekking,Wildlife Safaris,Summer,Bike,Medium,Hostel,Adventure & Active
User 408,"Denver, Colorado",en_US,457,17-Nov,2018-10-20T06:13:18-04:00,5,1,0,18.0,group,0m2w1d,1721.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Summer,Public-Bus,Medium,Hostel,Adventure & Active
User 415,"England, United Kingdom",en_US,3,22-Dec,2022-12-20T07:56:04-05:00,5,1,0,31.0,group,0m2w1d,3077.0,Camping,Wildlife Safaris,Hiking and Trekking,Summer,Public-Bus,Medium,Camping,Adventure & Active
User 420,"Merthyr Tydfil County, United Kingdom",en_US,16,22-Jan,2022-02-16T20:00:29-05:00,5,0,9,27.0,solo,0m1w1d,2265.0,Camping,Wildlife Safaris,Water Sports,Summer,Van,Medium,Hostel,Adventure & Active
User 430,"Lulea, Sweden",en_US,37,20-Jan,2020-01-03T22:36:08-05:00,5,0,3,29.0,solo,0m0w6d,2077.0,Water Sports,Camping,Hiking and Trekking,Summer,scooter,Medium,Guesthouse,Adventure & Active
User 431,"Stockholm, Sweden",sv,17,19-Dec,2019-12-26T22:21:05-05:00,5,1,10,31.0,group,0m1w3d,2925.0,Hiking and Trekking,Whale and Dolphin Watching,Water Sports,Fall,Van,Medium,Camping,Adventure & Active
User 434,"Mumbai, India",en_IN,11,19-Dec,2019-12-19T19:31:46-05:00,4,1,9,18.0,group,0m2w1d,2365.0,Wildlife Safaris,Camping,Water Sports,Summer,Van,Medium,Camping,Adventure & Active
User 435,"Port Coquitlam, Canada",en_US,88,19-Dec,2019-12-19T15:11:17-05:00,5,1,10,27.0,solo,0m1w2d,2253.0,Hiking and Trekking,Water Sports,Wildlife Safaris,Summer,Bike,Medium,Guesthouse,Adventure & Active
User 439,"Birmingham, United Kingdom",en_UK,12,20-Jan,2020-03-23T19:09:07-04:00,5,2,15,32.0,solo,0m1w2d,2292.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Car,Medium,Camping,Adventure & Active
User 442,"Cork, Ireland",en_IE,45,20-Feb,2020-03-12T03:28:02-04:00,4,0,6,27.0,solo,0m0w5d,2115.0,Hiking and Trekking,Camping,Wildlife Safaris,Fall,Train,Medium,Hostel,Adventure & Active
User 445,"Stockholm, Sweden",en_US,15,20-Feb,2020-02-22T20:09:57-05:00,5,1,10,24.0,solo,0m1w2d,2212.0,Hiking and Trekking,Camping,Wildlife Safaris,Summer,scooter,Medium,Hostel,Adventure & Active
User 447,"Doha, Qatar",en_US,4,20-Feb,2020-02-13T11:00:06-05:00,5,0,13,23.0,group,0m2w6d,2481.0,Whale and Dolphin Watching,Wildlife Safaris,Camping,Fall,Train,Medium,Hostel,Adventure & Active
User 448,"Bournemouth, United Kingdom",en_UK,16,20-Jan,2020-01-30T18:16:41-05:00,5,0,4,24.0,solo,0m1w2d,2403.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Summer,Car,Medium,Guesthouse,Adventure & Active
User 450,"Jersey, United Kingdom",en_US,15,19-Nov,2019-11-21T23:51:33-05:00,5,2,8,23.0,group,0m1w5d,1502.0,Hiking and Trekking,Camping,Water Sports,Summer,Van,Medium,Camping,Adventure & Active
User 454,"Bucharest, Romania",en_US,252,19-Oct,2019-10-21T03:25:40-04:00,5,1,13,19.0,group,0m1w5d,2118.0,Water Sports,Whale and Dolphin Watching,Camping,Spring,Public-Bus,Medium,Guesthouse,Adventure & Active
User 459,"Toowoomba, Australia",en_US,1,19-Aug,2019-08-06T18:37:31-04:00,2,1,8,26.0,group,0m1w5d,1770.0,Camping,Hiking and Trekking,Whale and Dolphin Watching,Summer,Van,Medium,Camping,Adventure & Active
User 464,Malta,en_AU,37,19-Feb,2019-06-04T17:52:06-04:00,5,0,3,24.0,group,0m1w3d,2055.0,Whale and Dolphin Watching,Hiking and Trekking,Wildlife Safaris,Summer,Public-Bus,Medium,Hostel,Adventure & Active
User 469,"Sydney, Australia",en_US,8,19-Apr,2019-04-24T01:44:07-04:00,3,0,3,19.0,solo,0m1w2d,2363.0,Wildlife Safaris,Camping,Hiking and Trekking,Fall,scooter,Medium,Hostel,Adventure & Active
User 473,"Palm Beach, Australia",en_AU,14,19-Feb,2019-04-16T21:19:03-04:00,5,0,12,25.0,group,0m2w3d,1766.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Fall,Public-Bus,Medium,Guesthouse,Adventure & Active
User 475,"Oxfordshire, United Kingdom",en_US,407,19-Apr,2019-04-13T01:07:33-04:00,4,0,3,21.0,solo,0m1w0d,2273.0,Camping,Whale and Dolphin Watching,Hiking and Trekking,Summer,Van,Medium,Hostel,Adventure & Active
User 476,"Dartford, England, United Kingdom",en_US,7,18-Dec,2019-02-14T04:08:34-05:00,5,1,10,19.0,group,0m1w6d,1739.0,Water Sports,Wildlife Safaris,Hiking and Trekking,Summer,AC-Bus,Medium,Camping,Adventure & Active
User 484,"Corsham, United Kingdom",en_us,125,19-Jan,2019-02-03T08:23:11-05:00,4,1,5,27.0,group,0m2w5d,1953.0,Whale and Dolphin Watching,Camping,Water Sports,Fall,Van,Medium,Guesthouse,Adventure & Active
User 490,"Perth, Australia",en_US,54,19-Jan,2019-01-21T16:43:14-05:00,5,0,7,18.0,group,0m2w3d,2404.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Summer,Train,Medium,Camping,Adventure & Active
User 491,"Schaerbeek, Belgium",en_US,59,19-Mar,2019-03-03T10:25:04-05:00,4,3,2,24.0,group,0m1w5d,2202.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Fall,Public-Bus,Medium,Camping,Adventure & Active
User 499,"Vrhnika, Slovenia",en_US,86,19-Feb,2019-02-20T21:56:52-05:00,3,1,3,25.0,group,0m2w4d,2248.0,Whale and Dolphin Watching,Wildlife Safaris,Hiking and Trekking,Summer,AC-Bus,Medium,Hostel,Adventure & Active
User 506,"London, United Kingdom",en_US,51,18-Sep,2018-10-17T12:31:44-04:00,5,2,1,20.0,group,0m1w5d,1596.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Fall,Train,Medium,Hostel,Adventure & Active
User 508,"Sunshine Coast, Australia",en_US,214,18-Oct,2018-10-13T12:47:31-04:00,5,1,0,24.0,group,0m1w5d,1792.0,Camping,Hiking and Trekking,Whale and Dolphin Watching,Fall,AC-Bus,Medium,Guesthouse,Adventure & Active
User 514,"Singapore, Singapore",en_US,106,18-Oct,2018-09-30T22:14:33-04:00,1,9,10,28.0,group,0m2w1d,2173.0,Whale and Dolphin Watching,Camping,Hiking and Trekking,Summer,Train,Medium,Guesthouse,Adventure & Active
User 517,Solna,en_US,7,18-Aug,2018-09-25T11:01:19-04:00,3,2,14,27.0,couples,0m1w4d,1843.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Fall,PickMe,Medium,Hostel,Adventure & Active
User 522,"West Sussex, United Kingdom",en_UK,38,19-Jan,2019-01-18T04:48:30-05:00,4,0,15,27.0,group,0m2w4d,1620.0,Hiking and Trekking,Camping,Water Sports,Summer,AC-Bus,Medium,Hostel,Adventure & Active
User 532,"Bucharest, Romania",en_US,126,19-Jan,2019-01-06T02:20:14-05:00,5,0,1,28.0,group,0m2w6d,2122.0,Wildlife Safaris,Camping,Whale and Dolphin Watching,Summer,AC-Bus,Medium,Hostel,Adventure & Active
User 535,"South Australia, Australia",en_AU,17,19-Jan,2019-01-02T01:01:24-05:00,4,2,2,29.0,solo,0m0w5d,2034.0,Hiking and Trekking,Water Sports,Wildlife Safaris,Spring,Van,Medium,Camping,Adventure & Active
User 539,"Kilkenny, Ireland",en_US,289,18-Nov,2018-11-28T06:27:21-05:00,5,1,10,26.0,group,0m1w5d,1621.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Summer,Van,Medium,Hostel,Adventure & Active
User 541,"Cambridgeshire, United Kingdom",en_US,8,18-Nov,2018-11-19T10:06:23-05:00,4,1,5,32.0,solo,0m1w1d,3137.0,Hiking and Trekking,Camping,Whale and Dolphin Watching,Summer,Bike,Medium,Camping,Adventure & Active
User 545,India,en_CA,15,18-Sep,2018-10-27T17:33:34-04:00,5,2,1,18.0,group,0m1w6d,2266.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Summer,Public-Bus,Medium,Hostel,Adventure & Active
User 546,"Liverpool, United Kingdom",en_UK,576,18-Oct,2018-10-21T21:08:15-04:00,4,2,8,27.0,group,0m2w2d,1546.0,Wildlife Safaris,Water Sports,Camping,Summer,Train,Medium,Camping,Adventure & Active
User 549,"Dartford, United Kingdom",en_UK,13,18-Aug,2018-08-25T06:22:04-04:00,5,0,0,28.0,solo,0m0w6d,1777.0,Hiking and Trekking,Water Sports,Camping,Fall,Train,Medium,Guesthouse,Adventure & Active
User 552,"Alberta, Canada",en_US,62,18-Jul,2018-08-13T19:44:32-04:00,2,4,2,27.0,group,0m2w1d,1670.0,Camping,Whale and Dolphin Watching,Wildlife Safaris,Fall,Train,Medium,Guesthouse,Adventure & Active
User 555,"Indore, India",en_IN,67,18-Aug,2018-08-09T03:22:11-04:00,5,0,10,30.0,solo,0m1w1d,1540.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Summer,Bike,Medium,Camping,Adventure & Active
User 557,"Eigersund Municipality, Norway",en_US,35,18-Jul,2018-08-05T03:11:12-04:00,4,1,3,28.0,solo,0m0w5d,1752.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Summer,Bike,Medium,Hostel,Adventure & Active
User 560,"Manila, Philippines",en_US,44,18-Jul,2018-07-22T02:07:13-04:00,5,2,5,26.0,group,0m2w5d,1703.0,Water Sports,Whale and Dolphin Watching,Camping,Summer,Van,Medium,Hostel,Adventure & Active
User 564,"Portland, Oregon",en_US,334,18-Dec,2018-12-29T23:45:04-05:00,4,0,4,27.0,solo,0m1w3d,2226.0,Camping,Wildlife Safaris,Hiking and Trekking,Fall,Van,Medium,Hostel,Adventure & Active
User 569,"Kolkata (Calcutta), India",en_US,5,18-Dec,2018-12-23T07:22:59-05:00,4,0,0,26.0,group,0m2w5d,1925.0,Hiking and Trekking,Wildlife Safaris,Whale and Dolphin Watching,Summer,Public-Bus,Medium,Hostel,Adventure & Active
User 577,"Jodhpur, India",en_IN,106,18-May,2018-07-04T03:03:38-04:00,2,0,14,21.0,solo,0m1w2d,2398.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Summer,Bike,Medium,Camping,Adventure & Active
