Age,Travel Style,Monthly Income (USD),Preferred Activities 1,Preferred Activities 2,Preferred Activities 3,Preferred Travel Season,Preferred Mode of Transportation,Tech Savvy,Accommodation Type,Category
29.0,couples,1800.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Fall,Car,Medium,Camping,Adventure & Active
22.0,group,2441.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Car,Medium,Hostel,Adventure & Active
25.0,group,2346.0,Hiking and Trekking,Wildlife Safaris,Whale and Dolphin Watching,Spring,Van,Medium,Hostel,Adventure & Active
19.0,solo,2438.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Fall,Bike,Medium,Camping,Adventure & Active
26.0,group,1804.0,Whale and Dolphin Watching,Hiking and Trekking,Water Sports,Summer,Public-Bus,Medium,Hostel,Adventure & Active
24.0,solo,2058.0,Hiking and Trekking,Camping,Wildlife Safaris,Spring,scooter,Medium,Guesthouse,Adventure & Active
24.0,group,1714.0,Water Sports,Hiking and Trekking,Wildlife Safaris,Summer,Car,Medium,Hostel,Adventure & Active
26.0,solo,2296.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Fall,scooter,Medium,Camping,Adventure & Active
26.0,solo,2315.0,Camping,Hiking and Trekking,Water Sports,Fall,Car,Medium,Hostel,Adventure & Active
30.0,group,1634.0,Water Sports,Wildlife Safaris,Camping,Summer,Train,Medium,Hostel,Adventure & Active
18.0,group,2389.0,Wildlife Safaris,Camping,Hiking and Trekking,Summer,Public-Bus,Medium,Hostel,Adventure & Active
19.0,group,2472.0,Whale and Dolphin Watching,Water Sports,Wildlife Safaris,Fall,Van,Medium,Guesthouse,Adventure & Active
24.0,group,2082.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Fall,AC-Bus,Medium,Guesthouse,Adventure & Active
23.0,group,1867.0,Wildlife Safaris,Water Sports,Camping,Summer,Car,Medium,Guesthouse,Adventure & Active
28.0,group,2343.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Summer,Train,Medium,Hostel,Adventure & Active
23.0,solo,2397.0,Whale and Dolphin Watching,Water Sports,Camping,Fall,scooter,Medium,Hostel,Adventure & Active
31.0,group,2060.0,Whale and Dolphin Watching,Hiking and Trekking,Camping,Fall,Public-Bus,Medium,Guesthouse,Adventure & Active
31.0,solo,2849.0,Hiking and Trekking,Wildlife Safaris,Camping,Summer,Car,Medium,Camping,Adventure & Active
32.0,group,2545.0,Whale and Dolphin Watching,Hiking and Trekking,Camping,Fall,Van,Medium,Hostel,Adventure & Active
31.0,group,2590.0,Water Sports,Wildlife Safaris,Whale and Dolphin Watching,Fall,Car,Medium,Hostel,Adventure & Active
26.0,solo,2183.0,Whale and Dolphin Watching,Camping,Water Sports,Fall,Car,Medium,Guesthouse,Adventure & Active
19.0,solo,1755.0,Wildlife Safaris,Whale and Dolphin Watching,Camping,Fall,Train,Medium,Hostel,Adventure & Active
19.0,group,1772.0,Hiking and Trekking,Camping,Water Sports,Summer,Public-Bus,Medium,Guesthouse,Adventure & Active
23.0,group,2101.0,Wildlife Safaris,Camping,Whale and Dolphin Watching,Summer,Car,Medium,Guesthouse,Adventure & Active
23.0,couples,2444.0,Hiking and Trekking,Wildlife Safaris,Camping,Fall,Van,Medium,Camping,Adventure & Active
26.0,solo,2049.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Train,Medium,Guesthouse,Adventure & Active
23.0,group,2197.0,Whale and Dolphin Watching,Water Sports,Camping,Fall,Train,Medium,Camping,Adventure & Active
30.0,solo,1668.0,Camping,Hiking and Trekking,Wildlife Safaris,Summer,Bike,Medium,Hostel,Adventure & Active
18.0,group,1721.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Summer,Public-Bus,Medium,Hostel,Adventure & Active
31.0,group,3077.0,Camping,Wildlife Safaris,Hiking and Trekking,Summer,Public-Bus,Medium,Camping,Adventure & Active
27.0,solo,2265.0,Camping,Wildlife Safaris,Water Sports,Summer,Van,Medium,Hostel,Adventure & Active
29.0,solo,2077.0,Water Sports,Camping,Hiking and Trekking,Summer,scooter,Medium,Guesthouse,Adventure & Active
31.0,group,2925.0,Hiking and Trekking,Whale and Dolphin Watching,Water Sports,Fall,Van,Medium,Camping,Adventure & Active
18.0,group,2365.0,Wildlife Safaris,Camping,Water Sports,Summer,Van,Medium,Camping,Adventure & Active
27.0,solo,2253.0,Hiking and Trekking,Water Sports,Wildlife Safaris,Summer,Bike,Medium,Guesthouse,Adventure & Active
32.0,solo,2292.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Car,Medium,Camping,Adventure & Active
27.0,solo,2115.0,Hiking and Trekking,Camping,Wildlife Safaris,Fall,Train,Medium,Hostel,Adventure & Active
24.0,solo,2212.0,Hiking and Trekking,Camping,Wildlife Safaris,Summer,scooter,Medium,Hostel,Adventure & Active
23.0,group,2481.0,Whale and Dolphin Watching,Wildlife Safaris,Camping,Fall,Train,Medium,Hostel,Adventure & Active
24.0,solo,2403.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Summer,Car,Medium,Guesthouse,Adventure & Active
23.0,group,1502.0,Hiking and Trekking,Camping,Water Sports,Summer,Van,Medium,Camping,Adventure & Active
19.0,group,2118.0,Water Sports,Whale and Dolphin Watching,Camping,Spring,Public-Bus,Medium,Guesthouse,Adventure & Active
26.0,group,1770.0,Camping,Hiking and Trekking,Whale and Dolphin Watching,Summer,Van,Medium,Camping,Adventure & Active
24.0,group,2055.0,Whale and Dolphin Watching,Hiking and Trekking,Wildlife Safaris,Summer,Public-Bus,Medium,Hostel,Adventure & Active
19.0,solo,2363.0,Wildlife Safaris,Camping,Hiking and Trekking,Fall,scooter,Medium,Hostel,Adventure & Active
25.0,group,1766.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Fall,Public-Bus,Medium,Guesthouse,Adventure & Active
21.0,solo,2273.0,Camping,Whale and Dolphin Watching,Hiking and Trekking,Summer,Van,Medium,Hostel,Adventure & Active
19.0,group,1739.0,Water Sports,Wildlife Safaris,Hiking and Trekking,Summer,AC-Bus,Medium,Camping,Adventure & Active
27.0,group,1953.0,Whale and Dolphin Watching,Camping,Water Sports,Fall,Van,Medium,Guesthouse,Adventure & Active
18.0,group,2404.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Summer,Train,Medium,Camping,Adventure & Active
24.0,group,2202.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Fall,Public-Bus,Medium,Camping,Adventure & Active
25.0,group,2248.0,Whale and Dolphin Watching,Wildlife Safaris,Hiking and Trekking,Summer,AC-Bus,Medium,Hostel,Adventure & Active
20.0,group,1596.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Fall,Train,Medium,Hostel,Adventure & Active
24.0,group,1792.0,Camping,Hiking and Trekking,Whale and Dolphin Watching,Fall,AC-Bus,Medium,Guesthouse,Adventure & Active
28.0,group,2173.0,Whale and Dolphin Watching,Camping,Hiking and Trekking,Summer,Train,Medium,Guesthouse,Adventure & Active
27.0,couples,1843.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Fall,PickMe,Medium,Hostel,Adventure & Active
27.0,group,1620.0,Hiking and Trekking,Camping,Water Sports,Summer,AC-Bus,Medium,Hostel,Adventure & Active
28.0,group,2122.0,Wildlife Safaris,Camping,Whale and Dolphin Watching,Summer,AC-Bus,Medium,Hostel,Adventure & Active
29.0,solo,2034.0,Hiking and Trekking,Water Sports,Wildlife Safaris,Spring,Van,Medium,Camping,Adventure & Active
26.0,group,1621.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Summer,Van,Medium,Hostel,Adventure & Active
32.0,solo,3137.0,Hiking and Trekking,Camping,Whale and Dolphin Watching,Summer,Bike,Medium,Camping,Adventure & Active
18.0,group,2266.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Summer,Public-Bus,Medium,Hostel,Adventure & Active
27.0,group,1546.0,Wildlife Safaris,Water Sports,Camping,Summer,Train,Medium,Camping,Adventure & Active
28.0,solo,1777.0,Hiking and Trekking,Water Sports,Camping,Fall,Train,Medium,Guesthouse,Adventure & Active
27.0,group,1670.0,Camping,Whale and Dolphin Watching,Wildlife Safaris,Fall,Train,Medium,Guesthouse,Adventure & Active
30.0,solo,1540.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Summer,Bike,Medium,Camping,Adventure & Active
28.0,solo,1752.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Summer,Bike,Medium,Hostel,Adventure & Active
26.0,group,1703.0,Water Sports,Whale and Dolphin Watching,Camping,Summer,Van,Medium,Hostel,Adventure & Active
27.0,solo,2226.0,Camping,Wildlife Safaris,Hiking and Trekking,Fall,Van,Medium,Hostel,Adventure & Active
26.0,group,1925.0,Hiking and Trekking,Wildlife Safaris,Whale and Dolphin Watching,Summer,Public-Bus,Medium,Hostel,Adventure & Active
21.0,solo,2398.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Summer,Bike,Medium,Camping,Adventure & Active
32.0,group,2839.0,Wildlife Safaris,Hiking and Trekking,Water Sports,Fall,Public-Bus,Medium,Hostel,Adventure & Active
19.0,solo,1924.0,Camping,Whale and Dolphin Watching,Wildlife Safaris,Fall,Train,Medium,Hostel,Adventure & Active
31.0,group,2362.0,Wildlife Safaris,Hiking and Trekking,Camping,Summer,Train,Medium,Guesthouse,Adventure & Active
18.0,couples,1990.0,Hiking and Trekking,Camping,Water Sports,Summer,PickMe,Medium,Camping,Adventure & Active
20.0,group,2236.0,Camping,Whale and Dolphin Watching,Wildlife Safaris,Summer,Public-Bus,Medium,Camping,Adventure & Active
19.0,solo,2304.0,Camping,Whale and Dolphin Watching,Hiking and Trekking,Fall,scooter,Medium,Guesthouse,Adventure & Active
26.0,group,2393.0,Whale and Dolphin Watching,Water Sports,Camping,Summer,Train,Medium,Camping,Adventure & Active
32.0,solo,2949.0,Water Sports,Camping,Whale and Dolphin Watching,Spring,Bike,Medium,Camping,Adventure & Active
23.0,group,1623.0,Whale and Dolphin Watching,Water Sports,Wildlife Safaris,Summer,Train,Medium,Camping,Adventure & Active
28.0,group,2373.0,Whale and Dolphin Watching,Wildlife Safaris,Hiking and Trekking,Summer,AC-Bus,Medium,Hostel,Adventure & Active
23.0,solo,2014.0,Wildlife Safaris,Hiking and Trekking,Camping,Summer,Van,Medium,Hostel,Adventure & Active
26.0,solo,1538.0,Whale and Dolphin Watching,Hiking and Trekking,Wildlife Safaris,Fall,Train,Medium,Guesthouse,Adventure & Active
27.0,solo,2348.0,Wildlife Safaris,Camping,Whale and Dolphin Watching,Fall,Train,Medium,Guesthouse,Adventure & Active
31.0,solo,2306.0,Whale and Dolphin Watching,Camping,Wildlife Safaris,Fall,Car,Medium,Hostel,Adventure & Active
32.0,couples,2709.0,Camping,Whale and Dolphin Watching,Wildlife Safaris,Fall,Bike,Medium,Hostel,Adventure & Active
24.0,solo,1787.0,Camping,Whale and Dolphin Watching,Hiking and Trekking,Summer,scooter,Medium,Hostel,Adventure & Active
31.0,group,3000.0,Hiking and Trekking,Water Sports,Camping,Summer,Public-Bus,Medium,Guesthouse,Adventure & Active
20.0,solo,2463.0,Whale and Dolphin Watching,Wildlife Safaris,Camping,Summer,Train,Medium,Guesthouse,Adventure & Active
18.0,solo,2215.0,Whale and Dolphin Watching,Hiking and Trekking,Water Sports,Fall,Train,Medium,Guesthouse,Adventure & Active
20.0,couples,1804.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Summer,Car,Medium,Guesthouse,Adventure & Active
20.0,solo,2466.0,Camping,Wildlife Safaris,Water Sports,Summer,Train,Medium,Hostel,Adventure & Active
23.0,solo,2492.0,Camping,Hiking and Trekking,Wildlife Safaris,Summer,Train,Medium,Guesthouse,Adventure & Active
22.0,solo,1805.0,Hiking and Trekking,Wildlife Safaris,Whale and Dolphin Watching,Summer,Train,Medium,Hostel,Adventure & Active
20.0,group,1674.0,Whale and Dolphin Watching,Water Sports,Camping,Summer,Train,Medium,Camping,Adventure & Active
28.0,group,1841.0,Camping,Whale and Dolphin Watching,Hiking and Trekking,Summer,Car,Medium,Camping,Adventure & Active
32.0,couples,2404.0,Camping,Hiking and Trekking,Whale and Dolphin Watching,Summer,PickMe,Medium,Hostel,Adventure & Active
28.0,group,1954.0,Whale and Dolphin Watching,Wildlife Safaris,Hiking and Trekking,Fall,Van,Medium,Camping,Adventure & Active
23.0,couples,2133.0,Camping,Whale and Dolphin Watching,Hiking and Trekking,Summer,Bike,Medium,Camping,Adventure & Active
28.0,group,1925.0,Wildlife Safaris,Water Sports,Camping,Summer,Train,Medium,Camping,Adventure & Active
18.0,solo,2456.0,Water Sports,Whale and Dolphin Watching,Camping,Summer,scooter,Medium,Guesthouse,Adventure & Active
32.0,solo,2071.0,Wildlife Safaris,Whale and Dolphin Watching,Hiking and Trekking,Fall,Bike,Medium,Hostel,Adventure & Active
22.0,group,1653.0,Wildlife Safaris,Hiking and Trekking,Camping,Fall,Train,Medium,Hostel,Adventure & Active
19.0,solo,2135.0,Water Sports,Whale and Dolphin Watching,Hiking and Trekking,Summer,Van,Medium,Camping,Adventure & Active
21.0,group,1549.0,Water Sports,Whale and Dolphin Watching,Hiking and Trekking,Summer,AC-Bus,Medium,Hostel,Adventure & Active
23.0,solo,2092.0,Wildlife Safaris,Water Sports,Whale and Dolphin Watching,Summer,Train,Medium,Camping,Adventure & Active
21.0,solo,2331.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Fall,Car,Medium,Hostel,Adventure & Active
18.0,group,1747.0,Whale and Dolphin Watching,Wildlife Safaris,Water Sports,Fall,AC-Bus,Medium,Guesthouse,Adventure & Active
24.0,group,1846.0,Wildlife Safaris,Camping,Whale and Dolphin Watching,Summer,Train,Medium,Camping,Adventure & Active
20.0,solo,1973.0,Hiking and Trekking,Water Sports,Camping,Fall,Train,Medium,Camping,Adventure & Active
29.0,group,1994.0,Camping,Whale and Dolphin Watching,Wildlife Safaris,Winter,Van,Medium,Hostel,Adventure & Active
19.0,group,2373.0,Hiking and Trekking,Whale and Dolphin Watching,Water Sports,Fall,Van,Medium,Guesthouse,Adventure & Active
20.0,group,2374.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Fall,AC-Bus,Medium,Guesthouse,Adventure & Active
31.0,group,3070.0,Wildlife Safaris,Camping,Water Sports,Summer,Train,Medium,Camping,Adventure & Active
22.0,group,2086.0,Camping,Wildlife Safaris,Hiking and Trekking,Fall,Van,Medium,Hostel,Adventure & Active
21.0,solo,2101.0,Whale and Dolphin Watching,Camping,Hiking and Trekking,Summer,Train,Medium,Camping,Adventure & Active
27.0,solo,1927.0,Whale and Dolphin Watching,Hiking and Trekking,Wildlife Safaris,Summer,Train,Medium,Hostel,Adventure & Active
20.0,group,1535.0,Water Sports,Wildlife Safaris,Camping,Summer,Car,Medium,Guesthouse,Adventure & Active
27.0,group,2497.0,Hiking and Trekking,Camping,Water Sports,Summer,Van,Medium,Guesthouse,Adventure & Active
24.0,group,2117.0,Water Sports,Wildlife Safaris,Camping,Fall,Van,Medium,Guesthouse,Adventure & Active
21.0,group,1849.0,Wildlife Safaris,Camping,Whale and Dolphin Watching,Summer,Train,Medium,Camping,Adventure & Active
30.0,group,2160.0,Hiking and Trekking,Whale and Dolphin Watching,Camping,Fall,Car,Medium,Hostel,Adventure & Active
23.0,solo,2075.0,Hiking and Trekking,Camping,Whale and Dolphin Watching,Winter,Train,Medium,Camping,Adventure & Active
25.0,group,1952.0,Water Sports,Hiking and Trekking,Wildlife Safaris,Summer,Car,Medium,Camping,Adventure & Active
26.0,group,1983.0,Camping,Wildlife Safaris,Whale and Dolphin Watching,Winter,Car,Medium,Hostel,Adventure & Active
30.0,group,2276.0,Hiking and Trekking,Wildlife Safaris,Water Sports,Fall,Car,Medium,Guesthouse,Adventure & Active
20.0,solo,2067.0,Wildlife Safaris,Hiking and Trekking,Camping,Summer,Car,Medium,Guesthouse,Adventure & Active
30.0,group,2475.0,Wildlife Safaris,Camping,Water Sports,Winter,Car,Medium,Hostel,Adventure & Active
22.0,solo,1903.0,Wildlife Safaris,Water Sports,Camping,Summer,scooter,Medium,Camping,Adventure & Active
25.0,group,2198.0,Hiking and Trekking,Wildlife Safaris,Water Sports,Fall,Public-Bus,Medium,Camping,Adventure & Active
32.0,group,2313.0,Hiking and Trekking,Water Sports,Wildlife Safaris,Fall,Van,Medium,Camping,Adventure & Active
30.0,group,2310.0,Whale and Dolphin Watching,Wildlife Safaris,Hiking and Trekking,Fall,AC-Bus,Medium,Guesthouse,Adventure & Active
22.0,solo,2050.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Summer,Train,Medium,Camping,Adventure & Active
28.0,solo,2452.0,Water Sports,Camping,Wildlife Safaris,Summer,Bike,Medium,Hostel,Adventure & Active
24.0,group,1816.0,Wildlife Safaris,Camping,Hiking and Trekking,Fall,Public-Bus,Medium,Hostel,Adventure & Active
26.0,couples,1841.0,Camping,Water Sports,Hiking and Trekking,Fall,Car,Medium,Camping,Adventure & Active
29.0,solo,2010.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Fall,Bike,Medium,Guesthouse,Adventure & Active
19.0,group,2092.0,Water Sports,Hiking and Trekking,Camping,Fall,Train,Medium,Camping,Adventure & Active
27.0,solo,1707.0,Camping,Whale and Dolphin Watching,Wildlife Safaris,Fall,Van,Medium,Guesthouse,Adventure & Active
27.0,group,2097.0,Wildlife Safaris,Camping,Water Sports,Summer,Van,Medium,Guesthouse,Adventure & Active
32.0,solo,2536.0,Whale and Dolphin Watching,Water Sports,Camping,Winter,Van,Medium,Guesthouse,Adventure & Active
19.0,group,1565.0,Water Sports,Camping,Wildlife Safaris,Fall,Van,Medium,Hostel,Adventure & Active
25.0,group,1808.0,Whale and Dolphin Watching,Hiking and Trekking,Water Sports,Fall,Train,Medium,Camping,Adventure & Active
25.0,group,1724.0,Hiking and Trekking,Camping,Water Sports,Summer,Van,Medium,Camping,Adventure & Active
22.0,couples,1688.0,Hiking and Trekking,Camping,Wildlife Safaris,Fall,Van,Medium,Camping,Adventure & Active
26.0,solo,2034.0,Water Sports,Hiking and Trekking,Camping,Summer,Van,Medium,Camping,Adventure & Active
25.0,solo,1520.0,Water Sports,Camping,Whale and Dolphin Watching,Fall,Train,Medium,Guesthouse,Adventure & Active
31.0,group,2968.0,Wildlife Safaris,Hiking and Trekking,Water Sports,Summer,Public-Bus,Medium,Camping,Adventure & Active
20.0,group,2125.0,Water Sports,Wildlife Safaris,Whale and Dolphin Watching,Summer,Train,Medium,Guesthouse,Adventure & Active
26.0,group,1642.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Summer,Public-Bus,Medium,Camping,Adventure & Active
25.0,group,1542.0,Water Sports,Wildlife Safaris,Whale and Dolphin Watching,Fall,Van,Medium,Guesthouse,Adventure & Active
25.0,solo,1915.0,Whale and Dolphin Watching,Water Sports,Camping,Summer,Bike,Medium,Hostel,Adventure & Active
23.0,group,1872.0,Camping,Hiking and Trekking,Whale and Dolphin Watching,Fall,Public-Bus,Medium,Camping,Adventure & Active
22.0,group,1534.0,Hiking and Trekking,Camping,Water Sports,Spring,Public-Bus,Medium,Guesthouse,Adventure & Active
26.0,group,2425.0,Whale and Dolphin Watching,Hiking and Trekking,Wildlife Safaris,Fall,Train,Medium,Guesthouse,Adventure & Active
22.0,couples,1586.0,Hiking and Trekking,Camping,Whale and Dolphin Watching,Fall,PickMe,Medium,Camping,Adventure & Active
22.0,group,1817.0,Water Sports,Wildlife Safaris,Whale and Dolphin Watching,Fall,Train,Medium,Guesthouse,Adventure & Active
25.0,group,2467.0,Hiking and Trekking,Water Sports,Camping,Summer,Car,Medium,Camping,Adventure & Active
23.0,group,1563.0,Water Sports,Camping,Whale and Dolphin Watching,Fall,AC-Bus,Medium,Camping,Adventure & Active
26.0,group,2038.0,Whale and Dolphin Watching,Camping,Water Sports,Fall,AC-Bus,Medium,Hostel,Adventure & Active
26.0,group,1696.0,Hiking and Trekking,Camping,Wildlife Safaris,Fall,Car,Medium,Hostel,Adventure & Active
21.0,couples,1816.0,Camping,Wildlife Safaris,Whale and Dolphin Watching,Summer,Car,Medium,Guesthouse,Adventure & Active
27.0,couples,2429.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Bike,Medium,Guesthouse,Adventure & Active
30.0,solo,1932.0,Whale and Dolphin Watching,Water Sports,Wildlife Safaris,Summer,Bike,Medium,Guesthouse,Adventure & Active
24.0,group,1679.0,Water Sports,Camping,Whale and Dolphin Watching,Summer,Public-Bus,Medium,Hostel,Adventure & Active
20.0,solo,2357.0,Whale and Dolphin Watching,Water Sports,Camping,Summer,Bike,Medium,Camping,Adventure & Active
25.0,group,2110.0,Water Sports,Camping,Hiking and Trekking,Summer,Van,Medium,Hostel,Adventure & Active
26.0,group,1571.0,Whale and Dolphin Watching,Hiking and Trekking,Wildlife Safaris,Summer,Van,Medium,Guesthouse,Adventure & Active
23.0,group,2436.0,Wildlife Safaris,Whale and Dolphin Watching,Hiking and Trekking,Summer,Train,Medium,Camping,Adventure & Active
23.0,solo,2379.0,Whale and Dolphin Watching,Camping,Hiking and Trekking,Fall,scooter,Medium,Camping,Adventure & Active
19.0,couples,1803.0,Camping,Water Sports,Wildlife Safaris,Summer,Car,Medium,Guesthouse,Adventure & Active
27.0,group,1663.0,Camping,Whale and Dolphin Watching,Wildlife Safaris,Fall,AC-Bus,Medium,Hostel,Adventure & Active
28.0,solo,2325.0,Water Sports,Camping,Whale and Dolphin Watching,Fall,Bike,Medium,Camping,Adventure & Active
18.0,solo,2139.0,Hiking and Trekking,Water Sports,Camping,Summer,Bike,Medium,Camping,Adventure & Active
21.0,group,1807.0,Whale and Dolphin Watching,Water Sports,Wildlife Safaris,Fall,Van,Medium,Guesthouse,Adventure & Active
26.0,solo,2392.0,Wildlife Safaris,Camping,Whale and Dolphin Watching,Fall,Train,Medium,Hostel,Adventure & Active
27.0,group,1849.0,Whale and Dolphin Watching,Camping,Hiking and Trekking,Fall,Car,Medium,Guesthouse,Adventure & Active
18.0,group,2095.0,Wildlife Safaris,Water Sports,Whale and Dolphin Watching,Summer,Van,Medium,Camping,Adventure & Active
